state,academic_achievement_weight,academic_growth_weight,school_quality_success_weight,ell_progress_weight,status,notes
AL,,,,,Not Started,
AK,,,,,Not Started,
AZ,,,,,Not Started,
AR,,,,,Not Started,
CA,,,,,Not Started,
CO,,,,,Not Started,
CT,,,,,Not Started,
DE,,,,,Not Started,
FL,,,,,Not Started,
GA,,,,,Not Started,
HI,,,,,Not Started,
ID,,,,,Not Started,
IL,,,,,Not Started,
IN,,,,,Not Started,
IA,,,,,Not Started,
KS,,,,,Not Started,
KY,,,,,Not Started,
LA,,,,,Not Started,
ME,,,,,Not Started,
MD,,,,,Not Started,
MA,,,,,Not Started,
MI,,,,,Not Started,
MN,,,,,Not Started,
MS,,,,,Not Started,
MO,,,,,Not Started,
MT,,,,,Not Started,
NE,,,,,Not Started,
NV,,,,,Not Started,
NH,,,,,Not Started,
NJ,,,,,Not Started,
NM,,,,,Not Started,
NY,,,,,Not Started,
NC,,,,,Not Started,
ND,,,,,Not Started,
OH,,,,,Not Started,
OK,,,,,Not Started,
OR,,,,,Not Started,
PA,,,,,Not Started,
RI,,,,,Not Started,
SC,,,,,Not Started,
SD,,,,,Not Started,
TN,,,,,Not Started,
TX,,,,,Not Started,
UT,,,,,Not Started,
VT,,,,,Not Started,
VA,,,,,Not Started,
WA,,,,,Not Started,
WV,,,,,Not Started,
WI,,,,,Not Started,
WY,,,,,Not Started,
DC,,,,,Not Started,
